task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
bernoulli_glm,10³,3,NRE,0.88065,0.20553696,15.867109,,5.101165262858073,10.142339360639477,09ce89a2-3a5b-49d8-8942-f2a5f925674d
bernoulli_glm,10⁵,6,SNRE,0.51855,0.0007724762,13.434448,,131.694384765625,11.91160319082531,6d4b9630-51ae-497d-b74f-581b108910b6
gaussian_mixture,10⁴,6,REJ-ABC,0.73655,0.07396304599999999,1.3633776000000002,,0.016787044207255044,8.737809327505671,6b3342b4-10a4-4933-8ad5-781e97eff7be
two_moons,10⁴,5,SMC-ABC,0.79925,0.02237606,0.096043766,,0.040240705013275146,inf,0d71ce91-5f5e-4d14-b68d-53cd6710ec17
bernoulli_glm_raw,10⁴,2,SNLE,0.9915,0.7002329,4.2426405,,47.10945231119792,12.96417030142541,be9320d9-53d5-44c1-9f25-6889222b5a61
bernoulli_glm_raw,10³,10,REJ-ABC,0.9967,0.54896253,6.0827627,,0.024458932876586917,8.554481076321409,ea74bf32-0cea-49a6-b772-5e392085daeb
slcp,10³,4,SNRE,0.9783,0.05595231,3.7861438,,6.700074259440104,32.46055514836779,c0374120-e5a1-4d5f-968b-8bce1e92b7b6
gaussian_mixture,10⁵,7,SMC-ABC,0.6567,0.0040072203,1.1232057,,0.14653390248616535,8.164537701495405,c2af1273-5049-48f6-858f-537b0e452592
lotka_volterra,10⁵,2,NRE,0.9969,0.5283587,25.036037,,,19.94939778714668,d2377c6e-5880-4ad0-a41c-e0b92420e9ba
sir,10⁴,2,SNLE,0.6725,0.021482825,19.849434,,9.819686889648438,14.399818846991804,83fcec66-c5e7-45d3-9774-7b302e17105f
slcp_distractors,10⁴,4,SNRE,0.9879,0.25343287,570.88605,,9.446590169270833,,5178dd2d-43b2-48ed-b2e6-541ebd8696e5
two_moons,10⁴,3,SNRE,0.5967,0.021105051,0.084784254,,5.537568155924479,inf,b9ca45df-5ec9-4346-ad30-91aa2b19af25
lotka_volterra,10⁴,2,NRE,0.9993,0.54966104,82.30188000000003,,,22.194123748237537,299acd10-8c0a-42b4-93dc-8074b3933ab1
lotka_volterra,10⁵,5,SNRE,0.87635,0.17425895,14.400671,,153.66414388020834,18.54596190935321,ffc04597-ba86-4597-9929-5796d6b26f62
lotka_volterra,10⁵,7,NLE,0.9831,0.43475723,31.448744,,82.3794189453125,23.099391405384086,9e7dd5d8-92da-43cf-b04a-890d4357dd1f
slcp,10³,6,SNLE,0.90065,0.06798899,10.775804,,14.762990315755207,34.26101178148467,50876a44-7027-4c47-bee8-8da9e99712c1
two_moons,10⁵,6,SNRE,0.60005,0.03139496,0.087521486,,103.78225911458334,inf,f05d3418-effe-4801-bf6d-5784daf33712
